REVERB,,,,,,,,,,,,,,,,,,
Instrument,Defaults,Levels,Tuning,Pitch,PitchEnv,Reverb,ModAttack,ModDecay,ModSustain,ModRelease,AmpAttack,AmpSustain,AmpDecay,AmpRelease,FilterType,FilterCutoff,FilterEnvAmount,FilterResonance
Acoustic Hip Hop,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Acoustic Jazz,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Air,0.149250000715256,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Amethyst,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Arid,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Assemblage,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Auto,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Avatar,0.149250000715256,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Azure,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
B170,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bits,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Boom,0.371171861886978,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Brain,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bubblewrap,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Buuo,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Buzz,0.148687496781349,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Caro Whack,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Cerulean,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Chaos,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Chartreuse,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Chat,0.050999995321035,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Chips,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Chops,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Cinematic Drums,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Circle,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Classic House,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Core,0.048687499016523,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Crimson,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Curiosity,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Data,0.050999995321035,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Doop,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Drone,0.152906239032745,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Dusk,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Emerald,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Feep,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fiin,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Final Hour,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
First Space,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Flexghost,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Flowspeed,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Foal,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fold,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Grime,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Grits,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Haas,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Halocut,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Hand Perc,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Hit,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Hybrid Cine,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Idiophonic,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Immanence,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Iris,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Joop,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Junk Food,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Kettle Hits,0.228421866893768,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Klonks,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
LoFi HipHop,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Lucid,0.148687496781349,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Luum,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Magenta,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mainline,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Maize,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Melodic Techno,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Meridiem,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Metal & Boom,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Midnight,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Morning,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Night Out,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Nomos,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Non-Space,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Orbit,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Organic House,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Perc Melange 1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Perc Melange 2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Plinks,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Plonks,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Raaf,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Rattle & Scrape,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Refrain,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Rhizome,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Rock Pop,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Rolling,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Rose,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Rupture,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SLOO,0.330709010362625,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Saffron,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Sapphire,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Second Space,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Shmoop,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Siif,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Silly,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Skinned,0.077530525624752,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Skins,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Smack,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Socius,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Sphere,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Spiral,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Stark,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Sticks,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Sunrise,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Sunset,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Swoosh,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Synthwave,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Taam,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Tam Bma Ts,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Tangerine,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Bubble,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Third Space,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Torus,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Toughened,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Trap,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Twin Paradox,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Uuuu,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
VMOD,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Verdigris,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Vermilion,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Violet,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Vocal,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Waves,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Woop,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Worldroom,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Yap,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Yoom,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
flicker,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
harsh,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
minimal,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
